turbine_id,total_hours,power_gen_hours,power_gen_percentage,shutdown_hours,shutdown_percentage,status_transitions,records_count,health_score,shutdown_ratio,avg_daily_transitions
52,8038.589999999999,2229.12,27.730236272779184,783.18,9.742753393318978,4910,4911,71.81,9.74,14.66
39,8038.110000000001,2188.45,27.225927487929376,408.63000000000005,5.083657725510101,6202,6203,67.46,5.08,18.52
20,6974.97,1653.4,23.70476145417113,194.23999999999998,2.7848148450817707,2633,2634,88.88,2.78,7.86
73,8039.0599999999995,1819.42,22.632248048901243,3784.78,47.07988247382157,4723,4724,54.26,47.08,14.1
29,8038.900000000001,1781.93,22.166341166079935,694.55,8.639863662938959,3281,3282,82.09,8.64,9.8
2,8038.45,1768.89,22.005361730184305,510.5899999999999,6.351846438057088,3757,3758,80.39,6.35,11.22
42,7600.21,1670.87,21.98452411183375,1023.5999999999998,13.468048909174875,3934,3935,75.77,13.47,11.75
17,8038.1799999999985,1685.9699999999998,20.974524083810017,876.03,10.898362564660161,5301,5302,68.9,10.9,15.83
37,7839.36,1448.9699999999998,18.483269042370804,3876.8900000000003,49.45416462568373,1993,1994,69.37,49.45,5.95
9,8039.429999999999,1382.6499999999999,17.19835859009905,1277.6699999999998,15.892544620700722,2908,2909,80.69,15.89,8.68
23,7987.779999999999,789.66,9.885850636847787,2212.88,27.703316816437113,3176,3177,73.18,27.7,9.48
19,7020.65,171.29000000000002,2.4398025823819736,1894.5,26.984680905614155,725,726,86.51,26.98,2.17
