设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#43];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
92,L14,#43,GW252/13600,(4)启机状态,4,2025-11-05 13:47:22,2025-11-05 13:48:05,43,0.01
93,L14,#43,GW252/13600,(3)待机状态,3,2025-11-05 13:46:41,2025-11-05 13:47:22,41,0.01
94,L14,#43,GW252/13600,(2)停机状态,2,2025-11-05 13:45:16,2025-11-05 13:46:41,85,0.02
95,L14,#43,GW252/13600,(1)停机过程,1,2025-11-05 13:44:23,2025-11-05 13:45:16,53,0.01
96,L14,#43,GW252/13600,(5)发电状态,5,2025-10-29 13:44:15,2025-11-05 13:44:23,604808,168
97,L14,#43,GW252/13600,(4)启机状态,4,2025-10-29 13:43:39,2025-10-29 13:44:15,36,0.01
98,L14,#43,GW252/13600,(3)待机状态,3,2025-10-29 13:43:06,2025-10-29 13:43:39,33,0.01
99,L14,#43,GW252/13600,(2)停机状态,2,2025-10-29 13:35:49,2025-10-29 13:43:06,437,0.12
100,L14,#43,GW252/13600,(1)停机过程,1,2025-10-29 13:35:02,2025-10-29 13:35:49,47,0.01
101,L14,#43,GW252/13600,(5)发电状态,5,2025-10-29 07:27:26,2025-10-29 13:35:02,22056,6.13
102,L14,#43,GW252/13600,(4)启机状态,4,2025-10-29 07:26:51,2025-10-29 07:27:26,35,0.01
103,L14,#43,GW252/13600,(3)待机状态,3,2025-10-29 07:26:18,2025-10-29 07:26:51,33,0.01
104,L14,#43,GW252/13600,(2)停机状态,2,2025-10-29 07:15:34,2025-10-29 07:26:18,644,0.18
105,L14,#43,GW252/13600,(1)停机过程,1,2025-10-29 07:14:45,2025-10-29 07:15:34,49,0.01
106,L14,#43,GW252/13600,(5)发电状态,5,2025-10-29 06:07:50,2025-10-29 07:14:45,4015,1.12
107,L14,#43,GW252/13600,(4)启机状态,4,2025-10-29 06:07:15,2025-10-29 06:07:50,35,0.01
108,L14,#43,GW252/13600,(3)待机状态,3,2025-10-29 06:06:41,2025-10-29 06:07:15,34,0.01
109,L14,#43,GW252/13600,(2)停机状态,2,2025-10-29 05:57:15,2025-10-29 06:06:41,566,0.16
110,L14,#43,GW252/13600,(1)停机过程,1,2025-10-29 05:56:29,2025-10-29 05:57:15,46,0.01
111,L14,#43,GW252/13600,(5)发电状态,5,2025-10-28 13:40:06,2025-10-29 05:56:29,58583,16.27
112,L14,#43,GW252/13600,(5)发电状态,5,2025-10-28 09:28:35,2025-10-28 13:40:06,15091,4.19
113,L14,#43,GW252/13600,(4)启机状态,4,2025-10-28 09:27:59,2025-10-28 09:28:35,36,0.01
114,L14,#43,GW252/13600,(3)待机状态,3,2025-10-28 09:27:25,2025-10-28 09:27:59,34,0.01
115,L14,#43,GW252/13600,(2)停机状态,2,2025-10-28 09:14:32,2025-10-28 09:27:25,773,0.21
116,L14,#43,GW252/13600,(1)停机过程,1,2025-10-28 09:13:42,2025-10-28 09:14:32,50,0.01
117,L14,#43,GW252/13600,(5)发电状态,5,2025-10-24 13:27:41,2025-10-28 09:13:42,330361,91.77
118,L14,#43,GW252/13600,(4)启机状态,4,2025-10-24 13:27:04,2025-10-24 13:27:41,37,0.01
119,L14,#43,GW252/13600,(3)待机状态,3,2025-10-24 13:26:27,2025-10-24 13:27:04,37,0.01
120,L14,#43,GW252/13600,(2)停机状态,2,2025-10-24 13:16:25,2025-10-24 13:26:27,602,0.17
